N_REG;NOMBRE_FUNDACION;OBS;ANTIGUA_DENOMINACION;SIGLAS;WEB;CORREO_ELECTRONICO;DIRECCION;DIRECCION_SEDE;PROV;CIUDAD;PROVINCIA;CP;TEL;FAX;CIF;FECHA_INSCRIPCION;FECHA_FUSION;FECHA_EXTINCION;FIN;FIN_2;FIN_3;OBJETO
055V;FUNDACIÓN PATRONATO SAN FÉLIX;;;;;;Calle de Doctor Alemany, 2-1;;46;CULLERA;VALÈNCIA;46400;;;G-46323747;1971/02/23 00:00:00.000;;;41;;;El mantenimiento de las becas creadas por María Colubi Grau, y su ampliación, en lo posible, para que niños pobres de Cullera puedan cursar estudios de cualquier grado y naturaleza.
056A;FUNDACIÓN DE ESTUDIOS MEDIEVALES JAIME II FUNDACIÓN DE LA COMUNIDAD VALENCIANA;;;;;;Plaza de España, nº 4-3º;;3;ALICANTE;ALICANTE;3004;;;G53052981;1995/11/14 00:00:00.000;;2017/09/04 00:00:00.000;33;;;"Art. 7º.- Fines: La Fundación se constituye como institución cultural privada siendo el objeto y finalidad de la Fundación el fomento, desarrollo y promoción en todas sus formas de la cultura, las ciencias, las artes y la educación, la conservación, protección y restauración del patrimonio histórico, artístico y cultural de la Comunidad Valenciana; la creación, fomento o promoción de centros de estudios; la organización de eventos culturales de toda índole y, en especial del estudio y conocimiento de la historia medieval. Beneficiarios.- Podrán ser beneficiarios de la Fundación los habitantes de la Comunidad Valenciana."
056C;FUNDACIÓ PENYAGOLOSA DE DESENVOLUPAMENT RURAL DE LA COMUNITAT VALENCIANA;;;;;;Calle dels Ibers, 24. P.I. Supoi-8;Calle Comercio, nº 3 (P.I. Mijares de Almassora). 12550-Almassora;12;ALMASSORA;CASTELLÓN;12550;964 503 253 (no oficial);964 563 950 (no oficial);G12554739;2002/05/07 00:00:00.000;;;80;;;Según el artículo 6 de sus estatutos la Fundación tiene por objeto: . 1.- Fomento del desarrollo rural sostenible . 2.- Formación. . 3.- Fomento de actividades económicas en el mundo rural y, en par-ticular, de economía social. . 4.- Fomento de la investigación en el mundo rural. . 5.- Fomento de nuevas tecnologías. . 6.- Iniciativas respetuosas con el Medio Ambiente. . 7.- Preservación y recuperación del patrimonio cultural tradicional.
057A;FUNDACIÓN EBERHARD SCHLOTTER DE LA COMUNIDAD VALENCIANA;;;;FUNDACIÓNSCHLOTTER.ORG;fundesaltea@telefonica.net;Sibylle Schorlemmer calle San José nº 39;Calle de Pont de Moncau, nº 14   -  03590 Altea;3;ALTEA;ALICANTE;3590;;;P5301802D;1995/11/21 00:00:00.000;;;34;;;"""La exposición, desarrollo y conocimiento de las artes plásticas"", finalidad que se concreta, sin exclusión, en las siguientes actividades: a) La exposición permanente de la obra artística e intelectual del Profesor D. Eberhard Schlotter, así como exposiciones artísticas e intelectuales, períodicas, temporales e itenerantes de la obra de otros autores de cualquier época y estilo.- b) Impartir conferencias y organizar congresos y seminarios sobre actividades artísticas de cualquier género de manifestación intelectual o científica, con los medios de expresión y comunicación necesarios o convenientes.- c) Impartir y organizar cursos docentes de técnicas de grabado y estampación.- d) Concesión de becas y premios extraordinarios a estudiantes o profesionales de Bellas Artes, con las condiciones regladas por la propia Fundación.- e) Divulgación o edición de obras literarias, históricas o técnicas, cuya temática monográfica verse sobre el grabado y la estampación.- f) Reproducción en pósters, postales y diapositivas de la obra del Profesor D. Eberhard Eschlotter, con fines a que los beneficios de su comercialización reviertan  en el sostenimiento de la Fundación."
057C;FUNDACIÓN COOPERATIVAS DE LA PROVINCIA DE CASTELLÓN DE LA COMUNITAT VALENCIANA;;FUNDACIÓN RURALCAJA CASTELLÓN DE LA COMUNIDAD VALENCIANA,     . FUNDACIÓN CREDICOOP DE LA COMUNIDAD VALENCIANA;;;funcoopcas@gmail.com;"Hotel-Residencia ""El Prat"". Partida El Prat";;12;LUCENA DEL CID;CASTELLÓN;12120;609 908 458;964212946;G12574703;2002/10/08 00:00:00.000;;;60;;;Artículo 7°.- Fines: La fundación llevará a término y promocionará todo tipo de actividades de interés general, en particular aquellas tendentes a la promoción cultural, social y asistencial en el entorno al que la misma extienda su ámbito de actuación.. Para el cumplimiento del objeto anteriormente referido, la Fundación desarrollará las siguientes actividades:. 1.- Gestionar los recursos procedentes de los rendimientos de su propio patrimonio y los que pudiere disponer procedentes de otras fuentes, como pudieren ser las donaciones de las entidades patrocinadoras o de terceros.. 2.- Promocionar la difusión del cooperativismo y, en general, de la economía de carácter social.. 3.- Atender y promover obras benéfico-asistenciales, a través de aportaciones o facilitando infraestructura y asesoramiento.. 4.- Apoyar el desarrollo de la cultura local, mediante la realización de programas de colaboración con terceros, becas, publicaciones, exposiciones, concursos y actos públicos, facilitando ayudas a otras iniciativas y asociaciones culturales y deportivas de su ámbito de actuación.. 5.- Colaborar en el mantenimiento y difusión del patrimonio cultural y artístico de la provincia de Castellón con carácter preferencial. Reunir, salvaguardar y dar a conocer la obra de artistas de la provincia de Castellón de prestigio.. 6.- Participar y colaborar en la restauración de monumentos y obras de arte.. 7.- Alentar la vida asociativa preferentemente de la provincia de Castellón y contribuir a las celebraciones y eventos sociales, fomentando los valores que son propios de nuestra identidad.. 8.- Formar parte del patronato de otras fundaciones cuyas finalidades estén comprendidas entre los objetivos de la Fundación.. 9.- Cualquier otra tendente a conseguir los fines de la Fundación y que no esté prohibida por la legislación vigente en cada momento. . Corresponde al Patronato de la Fundación determinar el modo en que se deberán cumplir los fines propios de la Fundación.”
057V;FUNDACIÓN DE LA COMUNIDAD VALENCIANA PATRONATO DE BENEFICENCIA E INSTRUCCIÓN CAROLINA ÁLVAREZ;;;;;colegio.ribera@gmail.com;Plaza San Juan de Ribera, 6;;46;BURJASSOT;VALÈNCIA;46100;656 371 517;;;1915/06/08 00:00:00.000;;;41;;;El art. 2º establece que  La dotación fundacional se adscribe a la actividad benéfico-docente de carácter cultural y educativo y de confesionalidad católica, y se desarrolla exclusivamente en el sostenimiento a perpetuidad de su establecimiento, el Colegio Mayor San Juan de Ribera. No obstante, y en virtud de las facultades otorgadas por la Fundadora en su testamento, el Patronato puede, en cualquier tiempo, si lo juzga conveniente, extender su misión educativa, católica y científica, por otros medios que los expresamente designados por la Fundadora.
058A;FUNDACIÓN ASILO DE NUESTRA SEÑORA DEL REMEDIO;;;;;info@nsremedio.es;Paseo de Campoamor, 4;;3;ALICANTE;ALICANTE;3010;965246990;96 513 43 29;G03104593;1962/06/12 00:00:00.000;;;11;;;6º.- Fines y Actividades. La Fundación tiene por objeto ‘Atender al cuidado, alimentación, educación e instrucción, adecuada a su capacidad, de niños de corta edad de familias necesitadas mientras sus madres van al trabajo”. Actualmente, dada la evolución en cuanto a cuidado, manutención, educación e instrucción de los niños, la Fundación continua atendiendo a los hijos de las familias más necesitadas del entorno de la Casa, en cuanto a educación y formación integral de los niños dentro de una óptica cristiana. Corresponde al Patronato de la Fundación determinar el modo en que se deberán cumplir los fines enumerados en este artículo. Las prestaciones de la Fundación se otorgarán de forma no lucrativa. El desarrollo del objeto de la Fundación se efectúa a través del Colegio, sito en el inmueble propiedad de la misma, Paseo de Campoamor n° 4 de Alicante, el cual está regido, desde el 6 de Enero de 1943, por la Compañía de la Hijas de la Caridad de San Vicente de Paúl, estándolo desde el 1 de Septiembre de 2.013, por la Dirección de Colegios Diocesanos del Obispado de Orihuela Alicante”
059V;FUNDACIÒ HORTA SUD DE LA COMUNITAT VALENCIANA;;1ª.-  FUNDACIÓN INSTITUTO PRO-DESARROLLO DE TORRENT. 2ª.-  FUNDACIÓN PARA EL DESARROLLO CAIXA TORRENT 3º.- FUNDACIÓN DE LA COMUNIDAD VALENCIANA PATA EL DESARROLLO DE L'HORTA SUD;;;fundacio@fhortasud.org;c. Verge de l'Olivar, 30;carrer Caixa d'estalvis, 4;46;TORRENT;VALÈNCIA;46900;961553227 601280728;155 32 27;G46214490;1980/09/22 00:00:00.000;;;30;;;Art.6 Fins i activitats. La fundació té com a fins: . 1. El desenrotllament cultural, social, econòmic i la potenciació de la identitat comarcal entre els habitants de l’Horta Sud, que ajuda a recuperar i enfortir els trets culturals, socials i econòmics que històricament ens ha caracteritzat i des d’una perspectiva de ciutadania europea. . 2. Fomentar i realitzar programes que consoliden la xarxa associativa de la comarca, que augmenten la participació ciutadana i ser un agent d’animació de la vida associativa comarcal. . 3. Fomentar la formació, la informació, la investigació i la comunicació, adreçada  principalment a la ciutadania i les associacions, per tal d’intervindre amb eficàcia en la realitat que els envolta. . 4. Sensibilitzar els poders públics i entitats ciutadanes, de manera que puga donar-se resposta coordinadament a les necessitats socials, econòmiques, culturals i d’investigació. . 5. Foment de la cultura, el patrimoni històric, l’economia i l’educació basada en el respecte a la dignitat humana, la justícia, el compromís en els drets humans, el bé comú i la qualitat de vida de les persones. . 6. Ser un espai cívic de reflexió i acció, que propicie la participació i el protagonisme ciutadà en els distints àmbits de la vida social de la comarca. Un espai que possibilite l’intercanvi creatiu d’idees i l’actuació col·lectiva. Un àmbit, en fi, per a estimular tant la llibertat individual com, la solidaritat col·lectiva. . 7. Fomentar la participació ciutadana en la construcció d’una ciutadania europea, la solidaritat en altres entitats i en el desenrotllament d’altres països, per a frenar l’individualisme dominant en la nostra societat. . 8. Recolzar la igualtat de gènere i d’oportunitats entre les persones, independentment de la seua procedència, així com la joventut, les persones majors, la infància, els immigrants, els aturats, els discapacitats i la resta de col·lectius amb possibles dificultats de participació en la societat. . Correspon al Patronat de la fundació determinar la manera en què s’hauran de complir els fins enumerats en este article. . El desenrotllament de l’objecte de la fundació s’efectuarà a través de les activitats que estime convenients el Patronat en cada circumstància.
060A;FUNDACIÓN CASA DE BENEFICENCIA HOGAR INFANTIL DE ALCOY DE LA COMUNIDAD VALENCIANA;;FUNDACIÓN CASA DE BENEFICENCIA;;;fundacioncbhogarinfantilalcoy@isgred.com;Calle de Isabel II, 2;;3;ALCOI;ALICANTE;3800;629 158 343;;G03101615;1941/11/12 00:00:00.000;;;11;;;albergar, socorrer, instruir y educar religiosamente especialmente a menores de ambos sexos desamparados o procedentes de familias necesitadas con graves problemas económicos, físicos o sociales.
060C;FUNDACIÓN MUTUA SEGORBINA DE LA COMUNIDAD VALENCIANA;;;;;;Calle Practicante Juan Ribes Garcia, nº 2 - bajo;;12;SEGORBE;CASTELLÓN;12400;;;G12595492;2003/02/20 00:00:00.000;;;30;;;La Fundación, conforme expone el artículo 6 de sus estatutos, tiene por objeto el fomento de la comarca del Alto Palancia, promoviendo iniciativas de interés general para el desarrollo cultural, social y económico en la misma
061V;FUNDACIÓ AUSIÀS MARCH DE LA COMUNITAT VALENCIANA;;;;;;Carrer Sant Ferran, nº 12;;46;VALÈNCIA;VALÈNCIA;46001;96 351 55 70;351 17 88;G46131850;1983/08/01 00:00:00.000;;;30;;;art. 6) L'objecte i la finalitat de la Fundació és promoure la cultura, l'art, la cieència i la investigaió, ès a dir, totes les activitas d'eixa naturalesa que representen un beneficie per al País Valencià. Per aixó podrà: 1.- Atorgar beques, premis i ajudes a la investigació i promoure treballs d'estudi de qualsevol tipus, dins de les seues finalitats i tant per a dur a terme dins el País Valencià com con qualsevol altre llec d'Espanya o de l'estranger, per si mateixa o en correspondència amb altres institucions similar. 2.- La divulgació per ella mateixa o mitjançant empresa editora dels treballs i estudios referits anteriorment i aquells altres que es relacionen amb els objectius de la Fundació. 3.- L'organització de conferències, simposis, taules rodones, seminaris, cursos i qualsevol atre tipus de reunions al voltant dels temes referits, asixí com intercanvis amb col.laboradors d'entitats culturals d'àmbit similar. 4.- La prestació de qualsevol altre tipus d'assistència, ajut o activitat anàloga o complementa`ria de les anteriors, dins el seu àmbit de competències.
062C;FUNDACIÓ GERMÀ COLÓN DOMÉNECH DE LA COMUNITAT VALENCIANA;;;;;;Campus de Riu Sec de la Universitat Jaume I - Avinguda de Vicent Sos Baynat, s/n;;12;CASTELLÓN;CASTELLÓN;12071;;;;2003/05/15 00:00:00.000;;;30;20;;Según el artículo 6 estatutario la Fundación tendrá como objetivo la promoción de todas las actividades relacionadas con la Filología Románica (catalán, español, francés, italiano y gallego-portugués) dirigidas, entre otros, a: a) Incentivar el conocimiento y la investigación de la Filología Románica en sus diferentes ámbitos. b) Favorecer el contacto con otras Universidades Europeas y el resto del mundo, dedicadas al mismo campo. c) Promover actividades académicas diversas: Congresos, jornadas, cursos, publicaciones, conferencias, etc. Una u otra de las diversas actividades ha de tener lugar anualmente. d) Facilitar la publicación de trabajos que genere la Fundació Germà Colón Doménech de la Comunitat Valenciana.
062V;FUNDACIÓN VALENCIANA DE ESTUDIOS AVANZADOS DE LA COMUNITAT VALENCIANA;;FUNDACIÓN VALENCIANA DE ESTUDIOS AVANZADOS DE LA COMUNIDAD VALENCIANA;;;info@fvea.es;Pintor López, 7-1ª;;46;VALÈNCIA;VALÈNCIA;46003;96 392 06 04;3 91 15 49;G46114591;1983/07/29 00:00:00.000;;;21;;;De conformidad  con el artículo 6, la Fundación tiene por objeto fomentar y catalizar los esfuerzos y proyectos personales o de grupo, destinados a promover y potenciar el desarrollo del conocimiento científico en la Comunitat Valenciana y desde ella a toda la sociedad nacional e internacional
063A;FUNDACIÓN DE LA COMUNIDAD VALENCIANA MARIOLA LA ASUNCIÓN;;;;;monllorabogados@ica-alcoy.com notificar a Roque Monllor DNI 21626633-D;Parroquia de San Roque, Av. L'Alameda, 3;;3;ALCOI;ALICANTE;3803;;965330469;;1979/05/09 00:00:00.000;;;21;;;El objeto y finalidad de la Fundación es la prestación de toda clase de servicios caritativos, benéficos y de asistencia social a personas de cualquier edad. Se promoverá entre los beneficiarios residentes la mejora de la calidad de vida y la formación cultural, moral y esencialmente religiosa de los que lo deseen.
063V;FUNDACIÓN FRANCISCO MAHIQUES VILLAGRASA;;;;;parroquiamonti2015@gmail.com;Calle de Iglesia, 11;;46;AIELO DE RUGAT;VALÈNCIA;46842;696227093;;;1984/06/14 00:00:00.000;;;10;;;La enseñanza gratuita y eminentemente católica de los niños de Ayelo de Rugat, y además el cuidado de enfermos y de la Iglesia.
064V;FUNDACIÓN LUCIO GIL DE FAGOAGA DE LA COMUNIDAD VALENCIANA;;;;;fundacionluciogil@gmail.com;Calle de Elías García, 1 y 3. (Aptdo. Correos 23);;46;REQUENA;VALÈNCIA;46340;606 941 010 / 609 056 009;;G46689386;1984/07/20 00:00:00.000;;;34;;;(art. 6) La Fundación tiene por objeto: a) El servicio público y gratuito de la Biblioteca de la misma, con la prohibición expresa que salgan del local donde se encuentran los libros, documentos, etc. b) El servicio de orientación y selección profesional en posible conexión con la Escuela de Aprendizaje Industrial y del Instituto de Enseñanza Media. c) La utilización de las casas de campo para vacaciones de Maestros, Colonias Escolares, etc., siempre que presten alguna labor cultural en las aldeas próximas. d) La constitución en sus cases de Requena, post-morten del fundador, de un Museo con todas las antigüedades y recuerdos personales del fundador, objetos de su uso, soleras de vino añejo, jardín, granja, etc., de manera que en lo posible mantenga el carácter que en la actualidad tiene e igual ritmo normal. e) La dedicación post-morten del fundador, de las fincas a su explotación agraria y forestal, en beneficio de la Fundación, investigación y práctica de buenos métodos y cultivos en posible conexión con la Estación Enológica y Delegación de Agricultura. Corresponde al Patronato de la Fundación determinar el modo en que se deberán cumplir los fines enumerados en este artículo. Las prestaciones de la Fundación se otorgarán de forma no lucrativa.
065C;FUNDACIÓ GERMANS FOLCH TRAVER DE LA COMUNITAT VALENCIANA;;;;;rocher@tossalgros.es;Carrer Nou, nº 29;;12;LES COVES DE VINROMÀ;CASTELLÓN;12185;;;G12614491;2003/09/29 00:00:00.000;;;13;0;0;Article. 6. La fundació té per objecte promocionar altruistament, per ella mateixa o per mitjà de tercers, el benestar personal, social i econòmic als sectors de la tercera edat, gent major, pensionistes, jubilats i, en general, gent necessitada i/o amb escassos recursos econòmics, mitjançant ajudes econòmiques directes o indirectes, i establiment, per ella mateixa o per mitjà de tercers, de serveis assistencials de tota mena, sempre que meresquen, a recte juí del Patronat, les ajudes de la Fundació.
065V;FUNDACIÓN CULTURAL FRANCISCO LLOPIS LATORRE FUNDACIÓN DE LA COMUNIDAD VALENCIANA;;;;;carlos.escobedo@coev.com;c/ San Vicente, 40;;46;LLÍRIA;VALÈNCIA;46160;600402601;;G46410072;1983/08/31 00:00:00.000;;;34;;;"(art. 6) Tiene objeto esta Fundación la construcción a sus expensas, en la Ciudad de Llira, de un edificio destinado a Casa de Cultura y Biblioteca, sobre terrenos propiedad de la Fundación, sitos en la calle de San Vicente, que se denominará ""Casa de Cultura y Biblioteca Popular Reyes Católicos"", la cual se destinará a biblioteca popular, museo, sala de conferencias y exposiciones, hogares juveniles o de ancianos, guardería, escuelas y similares, y una vez construida y dotada convenientemente, a juicio de la Junta de Patronos, se ofrecerá gratuitamente, a la Parroquia de la Asunción de Nuestra Señora de Lliria, con la condición de ser destinada al cumplimiento de los fines para los que fue construida y de que conserve el nombre de Casa de Cultura y Biblioteca Popular Reyes Católicos. Construido el edificio, los fondos que pudiera tener la Fundación como remanente, se destinarán a fines benéfico-culturales, tales como adquisición de libros o fondo para el museo, concesión de becas a estudiantes aventajados de Lliria que carezcan de medio económicos suficientes para continuar sus estudios, adquisición de material científico-docente para las Escuelas Públicas e Instituto de Lliria, concesión de premios para la investigación científica y técnica, subvenciones para las instituciones que tuvieran cabida o desarrollaran su actividad dentro del edificio y cualquier otra finalidad análoga."
066C;FUNDACIÓ NOVESSENDES DE LA COMUNITAT VALENCIANA;;;;;info@novessendes.org;Avda. 1º de Mayo, 23-bajo;;12;BETXÍ;CASTELLÓN;12549;964 62 00 10;;G12558383;2003/09/30 00:00:00.000;;;30;0;0;Art. 6 Fines.- Son fines de la Fundación la promoción y desarrollo de programas de carácter cultural, docente y educativo y cualquier actividad con fundamento en los principios de utilidad común y desarrollo integral de la persona bajo los ideales de libertad y evolución. Podrán ser fines de la fundación todos aquellos que se alcancen en defensa del interés general y en beneficio de la humanidad, entre otros: Educativos: Estimular un pensamiento crítico activo, y participativo en las actividades a desarrollar. Llevar a cabo una labor de sensibilización acerca de los valores de solidaridad, justicia social, no discriminación, crecimiento personal y defensa del medio ambiente. Promover actividades destinadas a crear actitudes cooperativas, que motiven al conocimiento, la tolerancia y el respeto de otras culturas, fomentando los valores de no violencia, no sexismo, no racismo, etc. Diversificar las acciones mediante contenidos y procedimientos de trabajos próximos y comprensibles, relacionando teoría y práctica. Investigación sobre nuevos paradigmas y visiones de la realidad. Métodos de trabajo que tengan en cuenta la formación integral de la persona. Sanitarios: Investigación sobre otros tipos de medicina que tengan en cuenta la interacción entre el cuerpo y la mente. Desarrollo de programas que den a conocer y no discriminen a ningún tipo de enfermo en razón de la enfermedad que padecen. Apoyo a nuevas terapias que no se fundamenten esencialmente en la medicación tipo alopática. Divulgación del término saludo como un concepto integrado de la persona. Cooperación internacional al desarrollo: Realización de actividades relacionadas con los principios y objetivos de la cooperación internacional para el desarrollo. Articulación de proyectos de cooperación al desarrollo y de solidaridad entre los Pueblos. Labor de sensibilización y educación al desarrollo en nuestro entorno inmediato. Se relacionan estos fines con carácter meramente enunciativo y nunca limitativo. La Fundación desarrollará sus actividades de acuerdo con los medios económicos con que cuente a través de programas aprobados en cada caso por el Patronato. Estos programas entre otros podrán consistir en: Taller de consumo responsable. Cursos de reciclaje para el personal docente. Becas de formación que posibiliten el desarrollo de zonas necesitadas. Organización de otros talleres, cursos y actividades que desarrollen los fines.
067A;FUNDACIÓN DE LA COMUNIDAD VALENCIANA CORTES ROIG;;;;;v.espuig@grupoveb.com;Dr. Severo Ochoa, nº 37;;3;BENIDORM;ALICANTE;3503;963529817;;G-03050184;1992/09/01 00:00:00.000;;;10;;;La Fundación tiene por objeto dar una educación cristiana, asistencial y social a las personas necesitadas.
067C;FUNDACIÓ CARLES SALVADOR DE LA COMUNITAT VALENCIANA;;;;;;Plaça Ajuntament, núm. 1;;12;BENASAL;CASTELLÓN;12160;;;G-12836627;2004/01/13 00:00:00.000;;;30;0;0;La Fundació té per objectius:a) Fer conéixer l’obra de Carles Salvador, figura cabdal de les lletres valencianes i de la innovació pedagògica del segle XX. b) Garantir la permanencia del llegat de Carles Salvador a Benasal. c) Dotar el municipi de Benasal d’un centre de dinamització cultural.
067V;FUNDACIÓN ENTOMOLÓGICA JUAN TORRES SALA DE LA COMUNIDAD VALENCIANA;;;;;;Passeig de la Petxina, 15;;46;VALÈNCIA;VALÈNCIA;46008;96 391 06 06;96.392.22.74;G-46557435;1985/06/20 00:00:00.000;;2017/02/24 00:00:00.000;21;;;La Fundación tiene por objeto: a) La conservación y mantenimiento y, en cuanto sea posible, el aumento de la colección entomológica legada por el Fundador, haciéndola útil desde le punto de vista científico, para todos aquellos científicos, profesionales o no, que con las suficientes garantías necesiten consultarla. Esta colección, de coleópteros y lepidópteros de todo el mundo, está contenida mas de ochocientas cajas llenas de ejemplares perfectamente conservados, determinados y clasificados, muchos de ellos repetidos, con los ficheros, catálogos de los mismos, material de caza, preparación y conservación de los insectos, libros relacionados con esta especialidad, muebles que contiene las cajas y demás enseres y accesorios”. b) La investigación de la biodiversidad de la fauna, a través de proyecto de investigación y conservación, la defensa del medio natural y utilización sostenible de los recursos y la provisión de becas y ayudas para estos fines. c) Junto a estos fines podrá realizar otros secundarios, tales como exposiciones parciales de los materiales acumulados, el fomento de estudios biológicos mediante organización de cursillos, conferencias, talleres escolares, etc., publicación de trabajos y cuantas otras actividades puedan redundar en un mejor conocimiento de la biología valenciana a juicio de la junta de patronos.
068A;FUNDACIÓN DE LA COMUNIDAD VALENCIANA ASILO  DE NUESTRA SEÑORA  DE LOS DOLORES, SAN JOAQUÍN Y SANTA ANA;;;;;direccion@fundacionresidenciabenissa.com;Calle de Teulada, 6;;3;BENISSA;ALICANTE;3720;965730593;;G03060407;1931/02/28 00:00:00.000;;;13;;;Asilo de pobres de la población de Benissa, ancianos y faltos, además, de apoyos de familia, o que ésta no les pueda atender, mayores de 60 años y carentes de bienes.
068V;FUNDACIÓ DE LA COMUNITAT VALENCIANA BIRLANGA FUSTER;;;;;;Calle Palleter, nº 57 - pta.4;;46;VALÈNCIA;VALÈNCIA;46008;963 34 47 31;963 34 47 31;G96503529;1986/01/14 00:00:00.000;;;33;;;La Fundació té per objecte promoure la cultura valenciana en les seues diverses manifestacions pedagògico-docents, científiques, literaris i artístiques. Queda exclosa cap finalitat lucrativa, política o religiosa
069A;FUNDACIÓN DOÑA MARÍA PAYÁ SANTONJA HOGAR DEL NIÑO JESÚS DE LA COMUNITAT VALENCIANA;;;;;;Calle de Dª María Payá, 26;;3;BIAR;ALICANTE;3410;581 00 28;;G03302668;1935/05/27 00:00:00.000;20/11/2012;;14;;;"El artículo 6 de los estatutos establece que la fundación persigue los fines de interés general recogidos en el artículo 3.1 y 3.2 de la Ley 50/2002, de 26 de diciembre, de fundaciones, fines que abarcan todos los campos de la acción social, especialmente ante situaciones de desprotección, abandono, desventaja, exclusión o riesgo, incluyendo la formación y la inserción. El desarrollo del objeto de la Fundación se efectuará a través de alguna de las siguientes formas de actuación: Creación, construcción y puesta en marcha de establecimientos destinados a la prestación de servicios de carácter social. Gestión integral de establecimientos y servicios de carácter social en las condiciones que marque la legislación vigente. Constitución de acuerdos de colaboración entre la Fundación y otras personas físicas o jurídicas que, bajo cualquier fórmula jurídica, supongan la prestación de servicios de carácter social.. En cuanto a sus beneficiarios, sus Estatutos disponen que la Fundación otorgará los beneficios a personas y entidades que, reuniendo las condiciones expresadas en los fines sociales, estime el Patronato que son legítimos acreedores de los mismos, de acuerdo con las bases, normas o reglas que establezca a tal efecto; y considerando preferentes los residentes en el municipio de Biar."
069C;FUNDACIÓN DE LA COMUNITAT VALENCIANA HOSPITAL PROVINCIAL DE CASTELLÓN;;UNDACIÓN DE LA COMUNIDAD VALENCIANA HOSPITAL PROVINCIAL DE CASTELLÓN;;;administracion.fundacion@hospitalprovincial.es;Avda. del Dr. Clara, nº 19;;12;CASTELLÓN;CASTELLÓN;12002;964 354 308;;G12633228;2004/02/17 00:00:00.000;;;21;0;0;Según el art.3 de sus Estatutos, la Fundación tiene por objeto La investigación, el estudio, la formación y preparación en la lucha contra el cáncer, y el avance de las técnicas e investigaciones oftalmológicas, a través de su colaboración con el Hospital Provincial de Castellón, y de los dos Institutos Oncológico de Castellón Dr. Vicente Altava y el Instituto Oftalmológico Dr. José María Menero, así como la gestión, custodia, promoción y organización de toda clase de cursos, simposium, congresos, todo ello en su más amplio sentido.
070C;FUNDACIÓN LLORCA DE MEDICINA Y CIRUGÍA EQUINA DE LA COMUNIDAD VALENCIANA;;;;;info@fundacionllorca.org;Calle Sagrada Familia, nº 19-1º;;12;CASTELLÓN;CASTELLÓN;12004;669-135 018;;G12647350;2004/06/07 00:00:00.000;;;20;0;0;El art.6 de los estatutos, establece como objetivo de la Fundación proporcionar bienestar a los propietarios de équidos, mejorar las condiciones sanitarias y de bienestar del conjunto de los équidos, proporcionar diagnóstico y tratamiento a los équidos afectados por alteración de sus funciones, promover la investigación en el campo del diagnóstico laboratorial, diagnóstico por la imagen, tratamientos medicamentosos y quirúrgicos de las diferentes patologías de los équidos
070V;FUNDACIÓ D'ESTUDIS I INICIATIVES SOCIOLABORALS FUNDACIÓ DE LA COMUNITAT VALENCIANA;;;FEIS PV;;ccortes@forempv.ccoo.es;c/ Serranos, nº 13;;46;VALÈNCIA;VALÈNCIA;46003;963935150. Ext 72054;388 21 07;G46599288;1989/09/28 00:00:00.000;;;21;;;El art. 6 modificado.- Fines y Actividades.- La Fundación tiene por objeto promover, impulsar y organizar todo tipo de estudios e investigaciones sociales y todo tipo de actos dirigidos a la formación y capacitación de las personas trabajadoras y se define como una fundación memorialista dado que custodiará el Archivo Histórico de Comisiones Obreras del PV. Corresponde al Patronato de la Fundación determinar el modo en que se deberán cumplir los fines enumerados en este artículo. Las prestaciones de la Fundación se otorgarán de forma no lucrativa. Para el cumplimiento de sus objetos y fines, la Fundación se organizará en cuatro secciones, cuya estructura y contenido son los siguientes: a) Sección de investigaciones, que animará la realización de estudios, proyectos de investigación, cursos, congresos, simposiums, jornadas, coloquios, conferencias, exposiciones y sesiones sobre asuntos relacionados con las ciencias sociales y humanas, la intervención social y la acción sindical. b) Sección de publicaciones, que animará la divulgación de los resultados de las investigaciones- realizadas o no en el marco de la Fundación- mediante la edición o coedición de libros, folletos, publicaciones periódicas, en soporte tradicional o informático. c) Sección de archivo, que custodiará el Archivo histórico de Comisiones Obreras del PV, preservando las fuentes documentales y animará las actividades dirigidas a su protección, catalogación, estudio y divulgación. En esta área se enmarcan cuantas actividades de biblioteca y documentación se animen para favorecer los fines de la Fundación. d) Sección de actividades formativas, que elaborará y propondrá cuantas actividades formativas se estime conveniente para el cumplimiento de sus fines.
071A;FUNDACIÓN DE LA COMUNIDAD VALENCIANA ASILO- HOSPITAL DE CALLOSA D'EN SARRIÀ;;;;;;Partida Mirambó, s/n;;3;CALLOSA D'EN SARRIÀ;ALICANTE;3510;96/ 588 05 73;;;1958/11/11 00:00:00.000;;;14;;;La Fundación tiene por objeto la asistencia social y de asilo de las personas socialmente necesitadas y todos aquellos servicios encuadrables en el ámbito de la asistencia social.
